id;instrument_id;instrument;brand;model;name;price;image_folder;image;description
60;violin;Скрипка;Pirastro; Obligato;"Аккорд (комплект), Струна Ми  шарик";6 076 ;;;
61;violin;Скрипка;Pirastro; Oliv;"Аккорд (комплект), Струна Ми  шарик";28 080 ;;;
62;violin;Скрипка;Pirastro; Oliv;"Аккорд (комплект), Струна Ми петля";28 080 ;;;
63;violin;Скрипка;Pirastro; Oliv;"Струна Ми, шарик, позолоченная сталь";2 569 ;;;
64;violin;Скрипка;Pirastro; Oliv;"Струна Ми, петля, позолоченная сталь";2 569 ;;;
65;violin;Скрипка;Pirastro; Oliv;"Струна Ля, алюминий";3 926 ;;;
66;violin;Скрипка;Pirastro; Oliv;"Струна Ре, алюминий, золото";9 276 ;;;
67;violin;Скрипка;Pirastro; Oliv;"Струна Соль, серебро, золото";12 304 ;;;
68;violin;Скрипка;Pirastro; Oliv;"Струна Ре, серебро";5 209 ;;;
69;violin;Скрипка;Pirastro; No.1;"Струна Ми, шарик, сталь";1 962 ;;;
70;violin;Скрипка;Pirastro; No.1;"Струна Ми петля, сталь";1 962 ;;;
71;violin;Скрипка;Pirastro; Evah Pirazzi;Аккорд (комплект);5 954 ;;;
72;violin;Скрипка;Pirastro; Evah Pirazzi;"Аккорд (комплект), Струна МИ шарик";14 270 ;;;
73;violin;Скрипка;Pirastro; Evah Pirazzi;"Аккорд (комплект), Струна Ми петля";14 270 ;;;
74;violin;Скрипка;Pirastro; Evah Pirazzi;"Аккорд (комплект), Струна Ми петля, позолоченная сталь";15 215 ;;;
75;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ми,  платина";2 623 ;;;
76;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна До, серебро";6 475 ;;;
77;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ми, шарик";586;;;
78;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ля, алюминий";1 701 ;;;
79;violin;Скрипка;Pirastro; Evah Pirazzi;Струна Ре;1 818 ;;;
80;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ми, шарик, позолоченная сталь";15 215 ;;;
81;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Соль, серебро";1 875 ;;;
82;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ми, шарик, сталь";928;;;
83;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ми, петля";928;;;
84;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ми, шарик, позолоченная сталь";1 873 ;;;
85;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ми, петля, позолоченная сталь";1 873 ;;;
86;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ля, алюминий";3 461 ;;;
87;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Ре, серебро";4 602 ;;;
88;violin;Скрипка;Pirastro; Evah Pirazzi;"Струна Соль, серебро";5 281 ;;;
89;violin;Скрипка;Pirastro; Flexocor Permanent;"Аккорд (комплект), Струна Ми  шарик";14 326 ;;;
90;violin;Скрипка;Pirastro; Flexocor Permanent;"Аккорд (комплект), Струна Ми петля";14 326 ;;;
91;violin;Скрипка;Pirastro; Flexocor Permanent;"Струна Ми шарик, сталь";928;;;
92;violin;Скрипка;Pirastro; Flexocor Permanent;"Струна Ми петля, сталь";928;;;
93;violin;Скрипка;Pirastro; Flexocor Permanent;"Струна Ля, алюминий";3 657 ;;;
94;violin;Скрипка;Pirastro; Flexocor Permanent;"Струна Ре, титан";4 871 ;;;
95;violin;Скрипка;Pirastro; Flexocor Permanent;"Струна Соль, серебро";4 871 ;;;
96;violin;Скрипка;Larsen; Aurora;"Аккорд, струна Ми шарик";5 221 ;;;
97;violin;Скрипка;Larsen; Aurora;"Струна Ми шарик, карбон, сталь";734;;;
98;violin;Скрипка;Larsen; Aurora;"Струна Ля, синтетика, алюминий";1 203 ;;;
99;violin;Скрипка;Larsen; Aurora;"Струна Ре, синтетика, алюминий";1 411 ;;;
100;violin;Скрипка;Larsen; Aurora;"Струна Ре, синтетика, серебро";1 537 ;;;
101;violin;Скрипка;Larsen; Aurora;"Струна Соль, синтетика , алюминий";1 882 ;;;
102;violin;Скрипка;Larsen; Il Cannone;Аккорд (комплект);11 474 ;;;
103;violin;Скрипка;Larsen; Il Cannone;Аккорд (комплект);9 858 ;;;
104;violin;Скрипка;Larsen; Il Cannone;Аккорд (комплект);9 858 ;;;
105;violin;Скрипка;Larsen; Il Cannone Soloist;Аккорд (комплект);11 474 ;;;
106;violin;Скрипка;Larsen; Il Cannone Soloist;Аккорд (комплект);9 849 ;;;
107;violin;Скрипка;Larsen; Il Cannone Soloist;Аккорд (комплект);9 849 ;;;
108;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Ми карбон, сталь";1 163 ;;;
109;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Ми карбон, сталь";1 163 ;;;
110;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Ля, синтетика, алюминий";3 210 ;;;
111;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Ля, синтетика, алюминий";2 730 ;;;
112;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Ля, синтетика, алюминий";2 730 ;;;
113;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Ре, синтетика, серебро";3 439 ;;;
114;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Ре, синтетика, серебро";2 921 ;;;
115;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Соль, синтетика , серебро";3 600 ;;;
116;violin;Скрипка;Larsen; Il Cannone Soloist;"Струна Соль, синтетика , серебро";3 056 ;;;
117;violin;Скрипка;Larsen; Il Cannone Gold;"Аккорд (комплект).
New Il Cannone Gold для скрипки: создано из высококачественного золота для солиста, ищущего уникальную силу и прочность.
Представляем первую в мире золотую струну D в идеальном сочетании с нашей золотой G, выполненную из золота высшего качества в дизайне струн. Создано для долговечности, сочетая силу с чувствительностью. Для нового Il Cannone Gold мы объединили высококачественные D и G с нашей эксклюзивной углеродистой сталью E и A-намотанной с точной прокатной алюминиевой проволокой. A, D и G построены на наших новейших и самых современных материалах сердечника с всемирно признанным исключительным качеством, подписанными, запечатанными и стабильно поставляемыми Larsen Strings.";54 527;;;
118;violin;Скрипка;Larsen; Il Cannone Silver;"Струна Ля, синтетика, алюминий";4 940 ;;;
119;violin;Скрипка;Larsen; Il Cannone Silver;"Струна Ре, синтетика, серебро";1 378 ;;;
120;violin;Скрипка;Larsen; Il Cannone Silver;"Струна Ми карбон, сталь";1 378 ;;;
121;violin;Скрипка;Larsen; Il Cannone Silver;"Струна Соль, синтетика , серебро";5 515 ;;;
122;violin;Скрипка;Larsen; Il Cannone Silver;"• Silver Ми — мощный, смелый и серебристый
• Caprice Ми — сверкающий, сосредоточенный и блестящий
Такой двухвариантный подход позволяет скрипачам адаптировать своё звучание под свой инструмент,
предлагая большую универсальность в репертуаре и стилях игры.";18 494 ;;;
123;violin;Скрипка;Larsen; Larsen;Аккорд (комплект);9 422 ;;;
124;violin;Скрипка;Larsen; Larsen;"Аккорд, струна Ми петля";9 422 ;;;
125;violin;Скрипка;Larsen; Larsen;"Струна Ми карбон, сталь, петля";847;;;
126;violin;Скрипка;Larsen; Larsen;"Струна Ми карбон, сталь-позолота, шарик";1 641 ;;;
127;violin;Скрипка;Larsen; Larsen;"Струна Ля, синтетика, алюминий";2 646 ;;;
128;violin;Скрипка;Larsen; Larsen;"Струня Ля, сталь";2 778 ;;;
129;violin;Скрипка;Larsen; Larsen;"Струна Ре, синтетика, алюминий";2 841 ;;;
130;violin;Скрипка;Larsen; Larsen;"Струна Ре, синтетика, серебро";2 981 ;;;
131;violin;Скрипка;Larsen; Larsen;"Струна Соль, синтетика , серебро";3 033 ;;;
132;violin;Скрипка;Larsen; Tzigane;"Аккорд, струна Ми шарик";9 696 ;;;
133;violin;Скрипка;Larsen; Tzigane;"Аккорд, струна Ми петля";9 696 ;;;
134;violin;Скрипка;Larsen; Tzigane;"Струна Ми, сталь";922;;;
135;violin;Скрипка;Larsen; Tzigane;"Струна Ми, сталь, петля";922;;;
136;violin;Скрипка;Larsen; Tzigane;"Струна Ре, синтетика, серебро";3 024 ;;;
137;violin;Скрипка;Larsen; Tzigane;"Струна Соль, синтетика , серебро";3 079 ;;;
138;violin;Скрипка;Larsen; Virtuoso;"Аккорд, струна Ми шарик";9 964 ;;;
139;violin;Скрипка;Larsen; Virtuoso;"Аккорд, струна Ми петля";9 964 ;;;
140;violin;Скрипка;Larsen; Virtuoso;"Струна Ми карбон, сталь, петля";1 045 ;;;
141;violin;Скрипка;Larsen; Virtuoso;"Струна Ми шарик, карбон, сталь";1 045 ;;;
142;violin;Скрипка;Larsen; Virtuoso;"Струна Ля, синтетика, алюминий";2 761 ;;;
143;violin;Скрипка;Larsen; Virtuoso;"Струна Ре, синтетика, серебро";3 045 ;;;
144;violin;Скрипка;Larsen; Virtuoso;"Струна Соль, синтетика , серебро";3 117 ;;;
145;violin;Скрипка;;;;;;;
146;violin;Скрипка;;;;;;;
147;violin;Скрипка;;;;;;;
148;violin;Скрипка;;;;;;;
149;violin;Скрипка;;;;;;;
150;violin;Скрипка;;;;;;;
151;violin;Скрипка;;;;;;;
152;violin;Скрипка;;;;;;;
